customer_id,total_spend,transaction_count,avg_spend,first_purchase,last_purchase,recency_days,frequency,monetary,segment,cluster
1,2452.515228294565,8,306.5644035368207,2023-05-18,2025-08-08,50,8,2452.515228294565,2,3
2,1736.8966175894393,5,347.3793235178879,2023-01-20,2024-06-26,458,5,1736.8966175894393,0,1
3,1773.1322736655495,6,295.522045610925,2023-07-07,2025-08-27,31,6,1773.1322736655495,2,3
4,836.7615638140169,4,209.19039095350425,2023-03-19,2025-04-08,172,4,836.7615638140169,1,2
5,1493.776680300471,6,248.9627800500785,2023-04-28,2025-07-09,80,6,1493.776680300471,1,2
6,479.5675133021881,4,119.89187832554704,2024-01-02,2025-06-08,111,4,479.5675133021881,1,2
7,521.7706824210334,3,173.9235608070111,2023-10-03,2025-08-26,32,3,521.7706824210334,1,2
8,2419.245590962261,9,268.80506566247345,2023-03-07,2025-09-26,1,9,2419.245590962261,2,3
9,1090.5278647109708,5,218.10557294219416,2023-02-25,2024-10-20,342,5,1090.5278647109708,1,2
10,891.0709408606899,2,445.53547043034496,2024-06-11,2025-02-23,216,2,891.0709408606899,1,2
11,683.033719293856,2,341.516859646928,2023-09-26,2025-03-06,205,2,683.033719293856,1,2
12,1758.4241633550005,8,219.80302041937503,2023-05-03,2025-07-18,71,8,1758.4241633550005,2,3
13,635.4963655637197,5,127.09927311274392,2023-06-08,2025-09-15,12,5,635.4963655637197,1,2
14,1027.3340581906284,5,205.46681163812568,2023-02-24,2025-08-22,36,5,1027.3340581906284,1,2
15,1809.640508727044,7,258.520072675292,2023-01-04,2025-09-03,24,7,1809.640508727044,2,3
16,680.6477177337266,3,226.8825725779089,2024-05-14,2025-01-20,250,3,680.6477177337266,1,2
17,1036.0385676134656,5,207.20771352269315,2023-12-28,2025-09-09,18,5,1036.0385676134656,1,2
18,589.256042840815,3,196.41868094693837,2023-02-20,2025-08-31,27,3,589.256042840815,1,2
19,1149.8727263313026,4,287.46818158282565,2024-04-21,2024-11-26,305,4,1149.8727263313026,1,2
20,443.60991476945617,2,221.80495738472808,2024-02-24,2025-01-03,267,2,443.60991476945617,1,2
21,1694.9810755075728,7,242.14015364393896,2023-01-08,2025-07-08,81,7,1694.9810755075728,2,3
22,1446.6676860136115,4,361.6669215034029,2023-01-30,2025-07-13,76,4,1446.6676860136115,1,2
23,699.490135551264,4,174.872533887816,2024-04-28,2025-03-28,183,4,699.490135551264,1,2
24,859.788642457773,5,171.9577284915546,2023-04-05,2024-06-24,460,5,859.788642457773,0,1
25,1411.0583323351198,5,282.211666467024,2024-01-20,2025-09-16,11,5,1411.0583323351198,1,2
26,688.4879851481304,4,172.1219962870326,2024-02-13,2025-08-06,52,4,688.4879851481304,1,2
27,1504.249341546226,6,250.7082235910377,2023-05-22,2025-03-12,199,6,1504.249341546226,1,2
28,2454.123887593581,9,272.68043195484233,2023-04-30,2025-09-06,21,9,2454.123887593581,2,3
29,1210.8294005305022,5,242.16588010610045,2023-06-06,2025-05-29,121,5,1210.8294005305022,1,2
30,1761.6428786079946,6,293.60714643466576,2023-06-25,2025-05-24,126,6,1761.6428786079946,2,3
32,1237.0697107284068,3,412.3565702428023,2024-01-28,2025-04-12,168,3,1237.0697107284068,1,2
33,1506.0349770675184,7,215.14785386678835,2023-04-26,2025-03-01,210,7,1506.0349770675184,2,3
34,1791.7796875155348,6,298.6299479192558,2024-05-06,2025-09-24,3,6,1791.7796875155348,2,3
35,1033.1141268608364,5,206.62282537216728,2023-03-09,2025-02-15,224,5,1033.1141268608364,1,2
36,1067.0400330062218,5,213.4080066012444,2023-06-07,2025-08-07,51,5,1067.0400330062218,1,2
37,954.542438426848,4,238.635609606712,2023-05-09,2024-08-25,398,4,954.542438426848,0,1
38,1702.141661620681,5,340.42833232413614,2023-01-23,2025-09-01,26,5,1702.141661620681,1,2
39,2311.914144856113,8,288.98926810701414,2023-07-28,2025-09-07,20,8,2311.914144856113,2,3
40,290.8557040985322,1,290.8557040985322,2023-04-01,2023-04-01,910,1,290.8557040985322,0,1
41,457.0968563474983,3,152.3656187824994,2023-04-09,2025-02-06,233,3,457.0968563474983,1,2
42,1078.446200791537,3,359.4820669305123,2023-05-26,2024-10-10,352,3,1078.446200791537,0,1
43,819.9532573800363,3,273.3177524600121,2024-02-09,2025-06-12,107,3,819.9532573800363,1,2
44,1091.3049488084816,5,218.26098976169632,2023-03-23,2025-09-12,15,5,1091.3049488084816,1,2
45,624.5746078146904,4,156.1436519536726,2023-04-12,2025-07-24,65,4,624.5746078146904,1,2
46,1607.605453946627,5,321.5210907893254,2023-12-31,2025-07-20,69,5,1607.605453946627,1,2
47,2062.615628916914,8,257.82695361461424,2024-04-06,2025-08-13,45,8,2062.615628916914,2,3
48,2268.6205543879646,8,283.5775692984956,2023-03-28,2025-08-03,55,8,2268.6205543879646,2,3
49,1025.0593799008348,4,256.2648449752087,2023-02-01,2025-01-07,263,4,1025.0593799008348,1,2
50,826.6978339139743,4,206.6744584784936,2023-03-12,2025-05-13,137,4,826.6978339139743,1,2
51,2552.333383035103,8,319.0416728793879,2023-02-10,2025-07-06,83,8,2552.333383035103,2,3
52,1499.3329422541472,6,249.8888237090245,2023-05-31,2025-05-21,129,6,1499.3329422541472,1,2
53,2078.4547940244083,8,259.80684925305104,2023-01-19,2025-06-09,110,8,2078.4547940244083,2,3
54,2749.4916421038533,9,305.4990713448726,2023-03-17,2025-04-27,153,9,2749.4916421038533,2,3
55,794.0237068969657,3,264.6745689656552,2023-02-12,2025-03-20,191,3,794.0237068969657,1,2
56,1253.658820412697,5,250.7317640825394,2024-12-17,2025-08-24,34,5,1253.658820412697,1,2
57,1310.978351761573,3,436.99278392052446,2024-02-21,2025-04-29,151,3,1310.978351761573,1,2
